Louvain-la-Neuve,1329
Mayenne,1328
Neuilly,1317
"Liége",1316
Evreux,1315
o.O,1313
Chaumont,1310
Urbana,1291
Rabat,1288
"Montluçon",1287
Genevae,1281
Saint-Michel-sur-Orge,1279
Sens,1278
Princ,1268
Saint-Quentin,1268
Lovanii,1264
Bernay,1263
"Santiago de Chile",1261
"Athènes",1257
Prag,1256
"Saint-Estève",1254
Darmstadt,1236
Charlottenburg,1233
Tubingae,1229
Lima,1226
Autun,1224
Palermo,1220
Cologne,1219
Escalquens,1218
Sceaux,1215
"V Praze",1209
Alfort,1201
Aartselaar,1197
"Ann Arbor",1194
"Saint-Amand (Cher)",1194
Dunkerque,1193
"Düsseldorf : Nolte",1193
Casablanca,1188
Gif-sur-Yv,1183
Jerusalem,1168
Rotterdam,1167
Jenae,1160
Namur,1160
Karlsruhe,1149
Chol,1148
Saclay,1146
Beograd,1142
"Condé-sur-Noireau",1141
"Fréjus",1141
Milan,1135
Chaponost,1130
P,1130
"Les Ulis",1129
Bayeux,1120
Gottingae,1120
Valencia,1111
Lagny,1105
Bruges,1102
Tulle,1100
Rosny-sous-Bois,1099
"Bogotá",1096
Fontainebleau,1095
"Clermont (Oise",1094
Brussel,1090
Belfort,1089
Amsteldam,1087
"Münster",1087
Meaux,1080
Alleur,1078
Pessac,1077
Innsbruck,1076
"La Roche-sur-Yon",1075
Roanne,1070
Saintes,1062
Zagreb,1061
Vesoul,1052
Upsaliae,1047
Christiania,1040
Draguignan,1029
Cherbourg,1027
Haarlem,1023
Saigon,1022
Saint-Malo,1020
"Alleur (Belgique",1007
Upsala,1003
Tunis,1001
"Saint-Victor-d'Épine",1000
Vitembergae,1000
Puteaux,998
"Sète",997
Fribourg,992
Wittebergae,986
Rungis,983
Genova,975
"Berlin : Springer",972
Berne,972
"Bâle",969
Oran,966
Helmstadii,963
Brive,962
"Quakenbrück",956
Boulogne-sur-Mer,954
"Chennevières-sur-Marne",953
Bratislava,951
Freiburg,950
Fort-de-France,943
Maisons-Alfort,940
"Vendôme",935
Foix,932
Aubagne,931
"Sèvres",931
Prague,929
Havre,927
Chevron,919
Arcueil,918
"Halae Magdeburgicae",917
"La Habana",917
Romorantin,904
"Le Puy-en-Velay",902
Gravenhage,901
Argenteuil,896
Choisy-le-Roi,895
"Joué-lès-Tours",890
Levallois,890
"Trévoux",889
"Les Sables-d'Olonne",888
Mont-de-Marsan,884
Saint-Omer,884
Castres,883
"Freiburg im Breisgau",880
Narbonne,879
Mediolani,878
Saumur,878
Issoudun,877
"Spéz",874
Soissons,873
"Montélimar",872
Saint-Jean-de-Braye,870
Antwerpen,868
Dole,866
"Marne-la-Vallée",864
Bonnae,862
"Cressé",861
Cognac,852
Paris),852
Vinegia,851
Zurich,849
Colomiers,845
Monte-Carlo,845
Neapoli,844
Graz,841
Amstelaedami,839
Florentiae,839
"Francofurti ad Moenum",839
Morlaix,839
Paderborn,839
"Freiburg i. Br",837
Melbourne,834
Winterthur,833
"Jérusalem",832
Sevilla,831
"Halle (Saale",826
Fontenay-le-Comte,823
Bombay,821
Kiev,821
Vienna,818
"Saint-Dié",816
"Paryż",813
Bononiae,811
"Saint-Denis (Réunion",811
Copenhague,808
Digne,804
Constantine,795
"The Hague",794
Fontaine,793
Mont-Saint-Aignan,792
Lorient,786
"Münster i. W",781
Pisa,780
Lagrasse,779
"Châtillon-sur-Seine",778
"La Plaine-Saint-Denis",774
Leyden,774
Porto,773
"São Paulo",771
Allauch,767
Riom,767
Bucarest,764
Aarau,762
Coimbra,762
Tel-Aviv,762
Verona,760
Copenhagen,755
"Berlin : Ebering",754
Montigny-le-Br,752
"Alès",746
Bari,746
Gennevilliers,746
Coutances,743
Augsburg,739
Cergy,738
Bergerac,735
Patavii,734
"Göteborg",733
"Gütersloh",733
Pontoise,733
Nouan-le-Fuzelier,732
"Saint-Lô",731
Oxonii,729
Nogent-sur-Marne,723
"Guér",722
Regensburg,719
Ramonville-Saint-Agne,718
Varsovie,718
Clermont,717
Coburg,715
"Borna-Leipzig : Noske",714
Assen,713
Noisy-le-Grand,712
"Königsberg",710
Sofia,708
Dax,706
Fontenay-aux-Roses,706
Hanoi,705
Parma,705
Leningrad,697
Cachan,696
Mexico,696
Florence,690
"Würzburg : Triltsch",690
Bielefeld,687
Kristiania,686
Hildesheim,684
Dieppe,683
Angl,681
Port,679
"Bègles",678
Villegly,677
Brno,676
Soisy-sur-Seine,674
Bremen,668
Groningae,667
"Le Coudray-Macouard",666
Saint-Amand,665
Millau,664
"New York City",664
Rosny,664
"Augustae Vindelicorum",663
Calais,663
Glasgow,652
"Namur (Belgique",651
"Zeulenroda i. Thür",651
Habana,649
Montbrison,645
Seyssel,645
"Hyères",643
"Les Plans-sur-Bex (Suisse",643
"Lwów",643
Fontenay-sous-Bois,642
Modena,642
Louviers,641
Meudon,641
Dammarie-les-Lys,640
Venise,640
"Étampes",638
"Saint-Benoît-du-Sault",636
Charleville,634
Chatou,634
Verdun,633
Privas,630
Manchester,628
Emsd,627
Orthez,627
"La Chapelle-Montligeon",626
"Bottrop i. W",623
Mamers,623
Montreuil-sous-Bois,621
"Mérignac",613
"París",611
"Sainte-Geneviève-des-Bois",610
"Fécamp",606
Honfleur,601
Rostochii,601
Jouy-en-Josas,599
"Aartselaar (Belgique",597
Norimbergae,596
Istanbul,595
Carpentras,594
Futuroscope,591
Moscou-Leningrad,591
"Héricy",589
"Rosières-en-Haye",589
Sarreguemines,588
Port-Louis,587
Kassel,586
Sedan,584
Cassel,583
Cayenne,582
Saint-Avertin,582
Saint-Maurice,582
"Montsûrs",581
"Bucureşti",580
"Léningrad",578
Aubervilliers,574
Barr,574
"La Défense",574
"Saint-Rémy-de-Provence",574
Villebon,572
Villefranche,572
"Mesnil (Eure)",569
"Créteil",567
"Bern ?",564
Grasse,564
"Pointe-à-Pitre",563
"Werbomont (Belgique",563
Marcinelle-Charleroi,557
Lormont,556
Annecy-le-Vieux,554
"Le Faouët",553
Forcalquier,551
Mannheim,551
"Châtillon",549
Riga,547
Wittenbergae,547
"Halle a. S.",543
Buenos-Aires,542
Hamburgi,541
Moguntiae,538
"Den Haag",537
"Évry",536
Hafniae,535
Saint-Dizier,535
Mons,534
"Saint-Mandé",534
Clamart,533
Mende,533
Beaune,532
Saint-Paul,532
"Asnières",531
"Le Chesnay",531
Romagnat,531
"Châlons",530
"Luçon",530
"Uzès",528
Saint-Nazaire,527
Brive-la-Gaillarde,526
Vauvert,522
Antibes,521
Bochum-Langendreer,521
Rochefort,519
Sucy-en-Brie,519
"Hànội",518
Ingolstadii,517
"Kiøbenhavn",517
Heidelbergae,516
Gembloux,515
"Pondichéry",515
"Agnières",513
"Mülhausen",513
"St-Pétersbourg",513
"St.-Pétersbourg",513
Puylaurens,512
Mortemart,509
"Noisy-sur-École",506
Basse-Terre,505
"Pékin",505
Sydney,505
Vitry-sur-Seine,501
