"Nîmes",20
Neuchatel,20
"Helmstädt",20
"the Savoy",19
Vittembergae,19
Vinegia,19
Vercelli,19
Potsdam,19
Pavia,19
"Lübeck",19
"La Haie",19
Ferrariae,19
"Duisburgi ad Rhenum",19
"Bâle",19
"Amsterdam (Paris",19
"Édimbourg",18
Vienna,18
Salamanca,18
Posonii,18
Marburg,18
Limoges,18
"København",18
Helmstedt,18
Frankfurth,18
Faenza,18
Dublinii,18
Colmar,18
Bath,18
"St. P",17
Rintelii,17
"Münster",17
Mexico,17
Divione,17
Cadomi,17
Tournay,16
"T'Amsterdam",16
Suisse,16
"Halae Magdeburg",16
Delphis,16
Coimbra,16
Coburg,16
Calcutta,16
Boston,16
Bambergae,16
"Augustae Vind.",16
Wienn,15
Warrington,15
Strasburg,15
Scuol,15
Parme,15
Noyon,15
"Londini Gothorum",15
Leipsick,15
"Jérusalem",15
Groningen,15
Brugge,15
Blois,15
Augsbourg,15
York,14
"Wolfenbüttel",14
Varsovie,14
"Trajecti Batavorum",14
Salisburgi,14
Rotomagi,14
Nizza,14
Mosquae,14
"Lunéville",14
"Harderovici Gelrorum",14
Guelpherbyti,14
Fontenoy,14
"Coloniae Munatianae",14
"Typis San-Blasianis",13
Schneebergae,13
Rotterodami,13
Nymegen,13
Malines,13
Macerata,13
Lucernae,13
Loven,13
Helmestadii,13
Hardervici,13
"Halle an der Saale",13
Graecii,13
Graavenhaage,13
Gand,13
Fermo,13
Duaci,13
Danzig,13
"Cythère",13
Cremona,13
Cosmopoli,13
Cesena,13
Andegavi,13
Vinariae,12
Quedlinburgi,12
Pisauri,12
Perpignan,12
"Lisboa Occidental",12
Langensalza,12
Kiliae,12
Isenaci,12
"Halae Saxonum",12
Haerlem,12
Greifswald,12
"Compiègne",12
Chemnitz,12
Chaalons,12
Carpentras,12
Bastia,12
Bassani,12
"Aux Deux-Ponts",12
Antwerpen,12
"Alençon",12
"Åbo",11
Verdun,11
V,11
Tulle,11
Taurini,11
Strawberry-Hill,11
Schwabach,11
Rothomagi,11
Roterdam,11
Perugia,11
Pamplona,11
Montargis,11
"Londres (Amsterdam",11
Lipsia,11
Lincii,11
"Leon de Francia",11
"Le Caire",11
"Köln",11
"Kostantiniyye [Istanbul",11
Kilonii,11
Harlingae,11
Ferney,11
Dresda,11
Douai,11
Dantisci,11
"Béziers",11
Birminghamiae,11
"Augustae Vindel.",11
Arezzo,11
Anspach,11
"Züllichau",10
Valenciennes,10
Ultrajecti,10
Tolosae,10
Soleure,10
Pictavii,10
Pau,10
"Nápoli",10
Nordhausen,10
Neufchatel,10
Messina,10
Longosalissae,10
"Lieux divers ?",10
Laon,10
Hoorn,10
Harlem,10
Gerae,10
"Frankfurt an der Oder",10
Flensburg,10
Europe,10
Etonae,10
Daventriae,10
Colonia,10
Bonna,10
Bayreuth,10
Baville,10
Altonae,10
"Altdorfii Noricorum",10
Zutphaniae,9
Zaragoza,9
Wolffenbuttelae,9
Witembergae,9
Winterthur,9
Styrae,9
Senlis,9
Saint-Quentin,9
Saint-Omer,9
"Rotenburgi ad Tub",9
Riom,9
Passy,9
"Paris ?",9
Olisipone,9
Mitaviae,9
Mi,9
Manila,9
Manheim,9
Livourne,9
Liburni,9
Leipsic,9
"Leidae Batavorum",9
Hirschbergae,9
Helmstadt,9
Halberstadt,9
"Halae ad Salam",9
"Halae Venedorum",9
"Göttingue",9
Gendt,9
Frankenthal,9
Faventiae,9
Erlang,9
Eisenach,9
Constantiae,9
"Châlons-sur-Marne",9
Carolsruhae,9
Brusselles,9
Bruges,9
Boulogne,9
Batavia,9
"Athènes",9
Arnstadt,9
"Amsterdam (Rouen",9
Altorphii,9
Alcmariae,9
Agripinae,9
"s'Gravenhage",8
Zwolle,8
Zelle,8
Villefranche,8
Uppsala,8
Udine,8
Stutgardiae,8
Stendal,8
"Siéclopolie",8
Senis,8
Sedini,8
Schneeberg,8
Quemper,8
Piacenza,8
Pedeponti,8
Noviomagi,8
Mende,8
Maastricht,8
Luneburgi,8
Liege,8
L,8
Hildesiae,8
Hanau,8
"Hagae Comitis",8
Freyberg,8
Francohusae,8
"Franckfurt an der Oder",8
"Francfort sur le Meyn",8
Deventer,8
"Cölln",8
"Châlons",8
Cagliari,8
Brusselas,8
Brunsvici,8
Berna,8
Bayeux,8
Barcinone,8
Aureliae,8
Arnhemiae,8
Arles,8
Argentinae,8
Alkmaar,8
Zuric,7
Warszawie,7
"W Wilnie",7
"Vienne en Autriche : chez Jean Pierre Van Ghelen",7
Trento,7
"Trajecti ad Mosam",7
Ticini,7
Suobaci,7
Stuttgardiae,7
Stutgart,7
"Sorøe",7
Salonique,7
Salisbury,7
Rodez,7
Remis,7
Ratisponae,7
"Pékin",7
Port-au-Prince,7
Parisiis),7
Onolzbach,7
Norimberga,7
Neomagi,7
Mutinae,7
"Monasterii Westphalorum",7
"Lüneburg",7
"Luteciae Parisiorum",7
Luques,7
"Lugduni in Batavis",7
Lugano,7
Lingae,7
Liegnitz,7
"Leodii ac Antverpiae",7
"Le Mans",7
Langres,7
"Kiöbenhavn",7
"Holmiæ",7
Hollande,7
Hildesheim,7
Hildburghausen,7
Harlingen,7
Gratianopoli,7
"Genève (Paris",7
Geneve,7
"Fribourg en Suisse",7
Francof.,7
Francfort-Leipsig,7
Eton,7
Erfurti,7
Cambrai,7
"Bésiers",7
"Bruyères",7
Brusselle,7
Bristol,7
Brandenburg,7
Bourg-en-Bresse,7
"Bezançon",7
Bergomi,7
Bamberg,7
Autun,7
Ancona,7
"Zweybrücken",6
Wimariae,6
